model,feature,importance,abs_importance,direction
Characteristics Only,categorical__state_NH,-0.06433551550856895,0.06433551550856895,negative
Characteristics Only,categorical__state_NJ,-0.13186740040190492,0.13186740040190492,negative
Characteristics Only,categorical__state_NM,-0.6854862654032141,0.6854862654032141,negative
Characteristics Only,categorical__state_NV,-0.20645571566774704,0.20645571566774704,negative
Characteristics Only,categorical__state_NY,-0.8638690606727698,0.8638690606727698,negative
Characteristics Only,categorical__state_OH,0.34321837339203565,0.34321837339203565,positive
Characteristics Only,categorical__state_OK,0.4792209648765057,0.4792209648765057,positive
Characteristics Only,categorical__state_OR,0.1791658309698157,0.1791658309698157,positive
Characteristics Only,categorical__state_PA,0.40953625159508744,0.40953625159508744,positive
Characteristics Only,categorical__state_PR,-0.5185722360244688,0.5185722360244688,negative
Characteristics Only,categorical__state_RI,0.9907984340918689,0.9907984340918689,positive
Characteristics Only,categorical__state_SC,0.3470685228588007,0.3470685228588007,positive
Characteristics Only,categorical__state_SD,1.1613891030028798,1.1613891030028798,positive
Characteristics Only,categorical__state_TN,-0.033740815741303484,0.033740815741303484,negative
Characteristics Only,categorical__state_TX,0.530679306211629,0.530679306211629,positive
Characteristics Only,categorical__state_UT,1.591140566152471,1.591140566152471,positive
Characteristics Only,categorical__state_VA,0.8296561915653893,0.8296561915653893,positive
Characteristics Only,categorical__state_VI,-0.2174630406967235,0.2174630406967235,negative
Characteristics Only,categorical__state_VT,-0.14456920017491176,0.14456920017491176,negative
Characteristics Only,categorical__state_WA,0.17250889838805258,0.17250889838805258,positive
Characteristics Only,categorical__state_WI,0.7309687784596144,0.7309687784596144,positive
Characteristics Only,categorical__state_WV,-0.6395984994775296,0.6395984994775296,negative
Characteristics Only,categorical__state_WY,0.42201000764872126,0.42201000764872126,positive
Logistic Regression,numeric__mort_better_rate,0.6628859184046569,0.6628859184046569,positive
Logistic Regression,numeric__mort_worse_rate,-0.7880767642839396,0.7880767642839396,negative
Logistic Regression,numeric__safety_better_rate,0.16152479037923606,0.16152479037923606,positive
Logistic Regression,numeric__safety_worse_rate,-0.36283286716202434,0.36283286716202434,negative
Logistic Regression,numeric__readm_better_rate,0.5182816251550139,0.5182816251550139,positive
Logistic Regression,numeric__readm_worse_rate,-0.7361789415667299,0.7361789415667299,negative
Logistic Regression,categorical__hospital_type_Acute Care - Veterans Administration,0.6506631982844044,0.6506631982844044,positive
Logistic Regression,categorical__hospital_type_Acute Care Hospitals,-0.3091919423028096,0.3091919423028096,negative
